"slyth","huffl","raven","griff"
0.104,0.882,0,0.014
0.0851063829787234,0.398936170212766,0.356382978723404,0.143617021276596
0.483483483483483,0.131131131131131,0.202202202202202,0.121121121121121
0.0152091254752852,0.859315589353612,0.11787072243346,0.00760456273764259
0.0408921933085502,0.705080545229244,0.22180916976456,0.0359355638166047
0.052863436123348,0.81057268722467,0.0969162995594714,0.0440528634361234
0.108108108108108,0.586586586586587,0.13013013013013,0.165165165165165
0.0677966101694915,0.682203389830508,0.152542372881356,0.11864406779661
0.413413413413413,0.439439439439439,0.0520520520520521,0.045045045045045
0.442442442442442,0.389389389389389,0.0750750750750751,0.017017017017017
0.14902807775378,0.762419006479482,0.0669546436285097,0.0323974082073434
0.023121387283237,0.839595375722543,0.111271676300578,0.0332369942196532
0.0452261306532663,0.873366834170854,0.0482412060301508,0.0361809045226131
0.128,0.085,0.026,0.762
0.023454157782516,0.718550106609808,0.251599147121535,0.00852878464818763
0.0555555555555556,0.111111111111111,0.444444444444444,0.333333333333333
0.114228456913828,0.860721442885772,0.0230460921843687,0.00200400801603206
0.728813559322034,0.169491525423729,0,0.101694915254237
0.0314401622718053,0.926977687626775,0.0152129817444219,0.0212981744421907
0.0525252525252525,0.872727272727273,0.0646464646464646,0.0252525252525253
0.0120240480961924,0.919839679358717,0.0651302605210421,0.00901803607214429
0.1875,0.645833333333333,0.125,0
0.393787575150301,0.417835671342685,0.0661322645290581,0.112224448897796
0.150253807106599,0.473096446700508,0.23756345177665,0.142131979695431
0.150300601202405,0.67935871743487,0.0260521042084168,0.11122244488978
0.396188565697091,0.279839518555667,0.0541624874623872,0.168505516549649
0.0660660660660661,0.409409409409409,0.318318318318318,0.213213213213213
0.0550550550550551,0.695695695695696,0.231231231231231,0.024024024024024
0.043043043043043,0.806806806806807,0.15015015015015,0.003003003003003
0.298,0.166,0.066,0.475
0.0231854838709677,0.960685483870968,0.00907258064516129,0.00705645161290323
0.0363636363636364,0.236363636363636,0.0818181818181818,0.654545454545455
0.0390781563126252,0.957915831663327,0.00400801603206413,0.0030060120240481
0.033857315598549,0.719467956469166,0.251511487303507,0.00241837968561064
0.041123370110331,0.455366098294885,0.0541624874623872,0.448345035105316
0.337686567164179,0.197761194029851,0.434701492537313,0.0578358208955224
0.285,0.516,0.089,0.073
0.047,0.564,0.246,0.109
0.113113113113113,0.766766766766767,0.0910910910910911,0.03003003003003
0.147,0.766,0.012,0.072
0.269230769230769,0.173076923076923,0.252747252747253,0.346153846153846
0.284569138276553,0.470941883767535,0.0230460921843687,0.227454909819639
0.0628099173553719,0.327272727272727,0.247933884297521,0.358677685950413
0.019,0.48,0.482,0.019
0.022,0.892,0.067,0.019
0.108490566037736,0.745283018867924,0.0235849056603774,0.117924528301887
0.0290076335877863,0.293129770992366,0.583206106870229,0.0977099236641221
0.310077519379845,0.310077519379845,0.0542635658914729,0.208194905869324
0.147590361445783,0.802208835341365,0.0180722891566265,0.0391566265060241
0.223340040241449,0.353118712273642,0.106639839034205,0.318913480885312
0.192577733199599,0.566700100300903,0.0541624874623872,0.175526579739218
0.0151362260343088,0.87991927346115,0.0645812310797175,0.041372351160444
0.27382146439318,0.384152457372116,0.124373119358074,0.238716148445336
0.171428571428571,0.771428571428571,0.0285714285714286,0.0142857142857143
0.0371859296482412,0.651256281407035,0.164824120603015,0.141708542713568
