"slyth","huffl","raven","griff"
0,0.492469879518072,0.475903614457831,0.0316265060240964
0.005005005005005,0.98998998998999,0.00700700700700701,0
0.001001001001001,0.998998998998999,0,0
0,1,0,0
0,1,0,0
0,0.807692307692308,0.153846153846154,0.0384615384615385
0.00601805416248746,0.956870611835506,0.037111334002006,0
0.00876095118898623,0.922403003754693,0.0563204005006258,0.0112640801001252
0,0.998678996036988,0,0.00132100396301189
0,1,0,0
0,1,0,0
0,0.842105263157895,0.157894736842105,0
0.008,0.019,0.907,0.068
0.00502008032128514,0.965863453815261,0.0251004016064257,0.00401606425702811
0.00131061598951507,0.986893840104849,0.00786369593709043,0.00393184796854522
0,0.71,0.289,0.001
0,0.999,0.001,0
0,1,0,0
0.002,0.987,0.011,0
0.001001001001001,0.780780780780781,0.218218218218218,0
0.006,0.95,0.038,0.007
0,0.829545454545455,0.159090909090909,0.0113636363636364
0,0.932,0,0.068
0,1,0,0
0.00600600600600601,0.167167167167167,0.806806806806807,0.02002002002002
0.003,0.986,0.008,0.003
0,1,0,0
0,1,0,0
0.00601202404809619,0.986973947895792,0.0030060120240481,0.00400801603206413
0,0.009,0.988,0.003
0.00900900900900901,0.762762762762763,0.22022022022022,0.005005005005005
0.001,0.923,0.074,0.002
0.004,0.963,0.032,0.003
0,0.993939393939394,0.00606060606060606,0
0,0.017,0.93,0.053
0.002,0.007,0.987,0.004
0.001,0.004,0.99,0.005
0,1,0,0
0,0.908,0.036,0.056
0.001001001001001,0.998998998998999,0,0
0,1,0,0
0.00903614457831325,0.886546184738956,0.0963855421686747,0.00502008032128514
0,0.975161987041037,0.0237580993520518,0.00107991360691145
0,1,0,0
0.00580270793036751,0.984526112185687,0.00773694390715667,0.00193423597678917
0,0.949313621964097,0.0496304118268215,0.00105596620908131
0,0.794,0.206,0
0,0,1,0
0,0.974025974025974,0.00649350649350649,0.0194805194805195
0,0.802,0.197,0.001
0.00952380952380952,0.161904761904762,0.19047619047619,0.628571428571429
0,0.919959473150962,0.0759878419452888,0.00405268490374873
0.00802407221664995,0.605817452357071,0.275827482447342,0.109327983951856
0.00103626943005181,0.807253886010363,0.189637305699482,0.00310880829015544
0,0.00208333333333333,0,0.997916666666667
0.00401606425702811,0.986947791164659,0.0100401606425703,0
0.00400801603206413,0.968937875751503,0.030060120240481,0
0,0.14,0.858,0.002
0,0.135,0.865,0
0.00200400801603206,0.997995991983968,0,0
0.00740740740740741,0.562962962962963,0.377777777777778,0.0518518518518519
0,1,0,0
0,0.993220338983051,0.00338983050847458,0.00338983050847458
0,1,0,0
0.00899550224887556,0.901049475262369,0.0854572713643178,0.00899550224887556
0,1,0,0
0.009,0.167,0.798,0.027
0,0.996923076923077,0,0.00307692307692308
0,0.911764705882353,0.00588235294117647,0.0823529411764706
0.00392156862745098,0.956862745098039,0.0352941176470588,0.00392156862745098
0.003,0.992,0.002,0.003
0,1,0,0
0.005,0.016,0.973,0.006
0.002002002002002,0.993993993993994,0.004004004004004,0
0,0.997977755308392,0.00202224469160768,0
0,0.995991983967936,0.00400801603206413,0
0.004,0.996,0,0
0,0.789473684210526,0.210526315789474,0
0.002,0.775,0.207,0.016
0,0.964964964964965,0.035035035035035,0
0,1,0,0
0.001,0.535,0.463,0.002
0,0.981945837512538,0.0160481444332999,0.00200601805416249
0.00602409638554217,0.976907630522088,0.0150602409638554,0.00401606425702811
0,0.334004024144869,0.658953722334004,0.00704225352112676
0,0.601,0.397,0.002
0.00115740740740741,0.949074074074074,0.00578703703703704,0.0439814814814815
0,0.973921765295888,0.0260782347041123,0
0,1,0,0
0,1,0,0
0.005,0.986,0.002,0.008
0.00525762355415352,0.987381703470032,0.00630914826498423,0.0010515247108307
0.00609137055837563,0.766497461928934,0.219289340101523,0.00812182741116751
0.003,0.097,0.002,0.898
0.00917431192660551,0.853211009174312,0.0458715596330275,0.0917431192660551
0,1,0,0
0,0.971,0.029,0
0.002,0.976,0.021,0.001
0,0.024,0.589,0.387
0.00528169014084507,0.573943661971831,0.413732394366197,0.00704225352112676
0.003,0.024,0.663,0.312
0,0.90990990990991,0.0720720720720721,0.018018018018018
0.0072463768115942,0.992753623188406,0,0
0,1,0,0
0.001001001001001,0.996996996996997,0,0.001001001001001
0,0.75,0,0.25
0,0.942028985507246,0.0289855072463768,0.0289855072463768
0,1,0,0
0,1,0,0
0.00501002004008016,0.981963927855711,0.00501002004008016,0.00801603206412826
0.0030060120240481,0.748496993987976,0.2374749498998,0.0110220440881764
0,0.6,0.2,0.2
0,0.92,0.04,0.04
0,1,0,0
0,0.997975708502024,0.00202429149797571,0
0,0.916666666666667,0.0833333333333333,0
0.005005005005005,0.865865865865866,0.128128128128128,0.001001001001001
0,0.666666666666667,0.111111111111111,0.222222222222222
0.00700700700700701,0.542542542542543,0.45045045045045,0.00600600600600601
0.00961538461538462,0.625,0.173076923076923,0.173076923076923
0,0.82,0.18,0
0,0,1,0
0.003,0.015,0.889,0.093
0.00809716599190283,0.677125506072874,0.15080971659919,0.163967611336032
0,1,0,0
0,1,0,0
0.00728862973760933,0.444606413994169,0.473760932944606,0.075801749271137
0.001,0.922,0.037,0.035
0.00606060606060606,0.985858585858586,0.00808080808080808,0
0.003,0.964,0.028,0
0,0.805555555555556,0.0833333333333333,0.111111111111111
0,1,0,0
0,1,0,0
0,0.999,0.001,0
0.00483091787439614,0.782608695652174,0.106280193236715,0.106280193236715
0,0.961988304093567,0.0263157894736842,0.0116959064327485
0.001,0.913,0.086,0
0.002002002002002,0.00900900900900901,0.987987987987988,0.001001001001001
0.00400801603206413,0.511022044088176,0.48496993987976,0
0,0.950310559006211,0.0496894409937888,0
0,1,0,0
0.005,0.994,0.001,0
0,1,0,0
0,0.25,0.71875,0.03125
0,0.517857142857143,0,0.482142857142857
0,1,0,0
0.003,0,1,0
0,0,0.978,0.022
0,0.99,0.01,0
0,1,0,0
0.005005005005005,0.780780780780781,0.204204204204204,0.01001001001001
0,0.0274914089347079,0.969072164948454,0.00343642611683849
0,0.826086956521739,0.130434782608696,0.0434782608695652
0,0.994,0,0.006
0,1,0,0
0.00200400801603206,0.845691382765531,0.147294589178357,0.00400801603206413
0,0.995652173913044,0.00434782608695652,0
0.001,0.999,0,0
0,0,0.989949748743719,0.0100502512562814
0.001,0.02,0.703,0.277
0.00600600600600601,0.987987987987988,0.005005005005005,0.002002002002002
0.003,0.001,0.996,0
0,0.366,0.061,0.573
0,1,0,0
0.002,0.908,0.087,0.003
0.00492610837438424,0.433497536945813,0.536945812807882,0.0197044334975369
0,0.988988988988989,0.011011011011011,0
0.002,0.921,0.077,0
0.009,0.99,0.006,0
0.002002002002002,0.988988988988989,0.00700700700700701,0.002002002002002
0,0.991935483870968,0.00806451612903226,0
0.002,0.998,0,0
0.00138312586445367,0.994467496542185,0.004149377593361,0
0.001,0.935,0.064,0
0.0015600624024961,0.904836193447738,0.0795631825273011,0.015600624024961
0,0.885,0.115,0
0.00201207243460765,0.532193158953722,0.466800804828974,0
0.00845665961945032,0.47568710359408,0.441860465116279,0.0761099365750529
0,1,0,0
0.00600600600600601,0.742742742742743,0.202202202202202,0.0500500500500501
0.009,0.701,0.296,0.003
0.0032017075773746,0.992529348986126,0.00426894343649947,0
0,0.959731543624161,0.00671140939597315,0.0335570469798658
0.00401203610832497,0.699097291875627,0.0100300902708124,0.269809428284855
0,0.859437751004016,0.140562248995984,0
0,0.988636363636364,0.0113636363636364,0
0,0.442442442442442,0.159159159159159,0.398398398398398
0.00353356890459364,0.982332155477032,0.0141342756183746,0
0.004,0.745,0.075,0.176
0,0,0.998561151079137,0.00143884892086331
0.007,0.435,0.471,0.087
0,0.331,0.669,0
0,1,0,0
0,1,0,0
0.00913705583756345,0.980710659898477,0.0131979695431472,0
0,1,0,0
0.005,0.013,0.965,0.017
0.0070281124497992,0.923694779116466,0.0491967871485944,0.0200803212851406
0.00415800415800416,0.993762993762994,0.00207900207900208,0.00207900207900208
0,0.794425087108014,0.205574912891986,0
0.003,0.976,0.017,0.006
0,0.515873015873016,0.476190476190476,0.00793650793650794
0,0.977573904179409,0.0214067278287462,0.00101936799184506
0,0.938,0.059,0.003
0.00641025641025641,0.844551282051282,0.113782051282051,0.0336538461538462
0.00901803607214429,0.979959919839679,0.00801603206412826,0.0030060120240481
0.00510204081632653,0.994897959183674,0,0
0,1,0,0
0,0.881818181818182,0.1,0.0181818181818182
0.006,0.558,0.424,0.011
0.004004004004004,0.994994994994995,0.001001001001001,0
0,1,0,0
0,0.868,0.132,0
0.00969305331179321,0.537964458804523,0.447495961227787,0.00323101777059774
